# Exchange:,binance
# Total coins:,373

iterator,coin_name
0,SCR
1,NEAR
2,WLD
3,ETHFI
4,DGB
5,BCH
6,AI
7,JST
8,AR
9,SEI
10,BB
11,A
12,C
13,JTO
14,D
15,FLM
16,F
17,G
18,S
19,W
20,SFP
21,DIA
22,ARDR
23,JUP
24,BEL
25,JUV
26,WOO
27,1MBABYDOGE
28,STRK
29,DF
30,FLOKI
31,SAND
32,AVNT
33,SCRT
34,TUSD
35,COOKIE
36,MUBARAK
37,FF
38,UNI
39,BIO
40,SKY
41,FLOW
42,SLP
43,TURTLE
44,NXPC
45,ID
46,IO
47,IQ
48,DOT
49,1INCH
50,TURBO
51,MAV
52,BEAMX
53,ATOM
54,QUICK
55,PENDLE
56,MBL
57,SNX
58,BFUSD
59,QKC
60,BMT
61,ROSE
62,SOL
63,CITY
64,LA
65,OGN
66,CGPT
67,CELR
68,BNB
69,CELO
70,AUCTION
71,LAYER
72,MANTA
73,CETUS
74,BNT
75,UTK
76,SPK
77,ME
78,MDT
79,PLUME
80,EGLD
81,TRUMP
82,FXS
83,FLUX
84,OG
85,OM
86,ETHW
87,AEUR
88,OP
89,ARPA
90,STG
91,SHIB
92,IOTX
93,KDA
94,STO
95,STX
96,QI
97,MBOX
98,IOST
99,SUI
100,XUSD
101,CAKE
102,SUN
103,ZBT
104,BTC
105,IOTA
106,AIXBT
107,RONIN
108,ONE
109,RENDER
110,ONG
111,ANKR
112,ALGO
113,SC
114,ONT
115,DYM
116,PIVX
117,HYPER
118,WLFI
119,DODO
120,ICP
121,ZEC
122,RESOLV
123,ICX
124,KMNO
125,XAI
126,ZEN
127,DUSK
128,DOGE
129,SXP
130,HBAR
131,SXT
132,DOGS
133,CTSI
134,LINEA
135,OSMO
136,SHELL
137,C98
138,NTRN
139,SYN
140,SYS
141,GAS
142,BOME
143,THETA
144,NEXO
145,AAVE
146,BONK
147,PERP
148,NEWT
149,HMSTR
150,XEC
151,PEOPLE
152,ZIL
153,YB
154,ZK
155,ZKC
156,KNC
157,HUMA
158,PROM
159,CATI
160,PORTO
161,WAXP
162,DOLO
163,DOOD
164,TAO
165,MORPHO
166,MTL
167,VET
168,USDT
169,USDP
170,ILV
171,EDU
172,LUMIA
173,USD1
174,USDE
175,TREE
176,USDC
177,INJ
178,KERNEL
179,1000SATS
180,XLM
181,SUPER
182,KSM
183,ANIME
184,VIC
185,MOVE
186,MOVR
187,XMR
188,RAY
189,FDUSD
190,ZRO
191,XNO
192,VELODROME
193,SANTOS
194,GMT
195,GMX
196,GNS
197,VANRY
198,THE
199,CFX
200,XPL
201,ACA
202,ACE
203,ACH
204,MINA
205,ACM
206,VTHO
207,TIA
208,ACT
209,REI
210,ADA
211,VIRTUAL
212,BROCCOLI714
213,GPS
214,CHR
215,CHZ
216,ADX
217,XRP
218,JASMY
219,FIDA
220,TKO
221,ENJ
222,SOLV
223,TOWNS
224,BABY
225,GRT
226,TFUEL
227,KAIA
228,TLM
229,CKB
230,LUNA
231,SOMI
232,XTZ
233,FORM
234,ENSO
235,HOLO
236,RIF
237,MIRA
238,HOME
239,HOOK
240,XVG
241,STEEM
242,XVS
243,GUN
244,LAZIO
245,CHESS
246,TON
247,INIT
248,MITO
249,ERA
250,ASTER
251,DEGO
252,PNUT
253,VOXEL
254,PHA
255,PHB
256,SAHARA
257,COS
258,GLMR
259,PROVE
260,ETH
261,ETC
262,NEO
263,HIGH
264,ALT
265,ORDI
266,TRU
267,NFP
268,TRX
269,SIGN
270,EUL
271,EUR
272,ORCA
273,EDEN
274,USTC
275,BERA
276,TST
277,VANA
278,SPELL
279,CRV
280,MAGIC
281,ALICE
282,NIL
283,TUT
284,APE
285,CTK
286,APT
287,0G
288,PYTH
289,WBETH
290,BAND
291,POL
292,ASTR
293,TWT
294,PARTI
295,ARB
296,ARK
297,1000CAT
298,SUSHI
299,PUMP
300,WBTC
301,BTTC
302,ASR
303,BNSOL
304,MANA
305,2Z
306,ATA
307,OPEN
308,ATM
309,TNSR
310,POLYX
311,RVN
312,KAVA
313,PSG
314,AVA
315,BARD
316,STRAX
317,NOT
318,WAL
319,WAN
320,EURI
321,MASK
322,AWE
323,YFI
324,HEI
325,PIXEL
326,AXL
327,YGG
328,AXS
329,SYRUP
330,WCT
331,COMP
332,HAEDAL
333,HFT
334,RUNE
335,PENGU
336,BANANAS31
337,GHST
338,ALPINE
339,IDEX
340,DEXE
341,LISTA
342,AVAX
343,HIVE
344,KAITO
345,LPT
346,RDNT
347,PYR
348,FET
349,GIGGLE
350,HEMI
351,LRC
352,DASH
353,SAGA
354,JOE
355,DCR
356,WIF
357,DATA
358,LTC
359,METIS
360,WIN
361,DYDX
362,POND
363,LINK
364,QTUM
365,CYBER
366,FIL
367,FIO
368,FIS
369,BAR
370,BAT
371,1000CHEEMS
372,COTI
